회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
캐로스,260490,2016-12-23,-,-,일반 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
전우정밀,120780,2016-12-23,-,-,자동차 신품 부품 제조업,0,0,0,0,0,0,0,0,0
피엔아이컴퍼니,242350,2016-12-22,2021,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","9,165,844","8,389,172","776,673","11,654,190",81,"-2,004,405","-1,116","351,666",147
퓨전,195440,2016-12-21,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
패션플랫폼,256090,2016-12-20,-,-,봉제의복 제조업,0,0,0,0,0,0,0,0,0
DSC인베스트먼트,241520,2016-12-19,2021,12월,신탁업 및 집합투자업,"96,619,327","20,518,651","76,100,676","28,885,770",-23,"16,184,268",-44,"15,985,246",-33
TS인베스트먼트,246690,2016-12-15,2021,12월,신탁업 및 집합투자업,"88,437,100","26,692,329","61,744,771","20,147,289",35,"12,605,066",27,"9,317,017",21
셀젠텍,258250,2016-12-13,2021,12월,소프트웨어 개발 및 공급업,"34,425,267","19,104,433","15,320,834","19,582,224",6,"1,195,679",27,"2,106,524",35
마이크로프랜드,147760,2016-12-12,2021,12월,"측정,시험,항해,제어및기타정밀기기제조;광학기기제외","70,123,223","14,426,193","55,697,030","60,501,219",18,"10,241,953",107,"7,858,306",22
코썬바이오,204990,2016-12-09,-,-,기타 식품 제조업,0,0,0,0,0,0,0,0,0
바이오프로테크,199290,2016-12-08,2021,12월,의료용 기기 제조업,"18,509,503","26,568,558","-8,059,055","18,110,817",41,"257,517",108,"-2,413,383",48
유니온커뮤니티,203450,2016-12-07,2021,12월,통신 및 방송 장비 제조업,"55,837,562","20,144,065","35,693,497","39,023,422",-10,"358,918",-84,"2,324,159",6
애니젠,196300,2016-12-07,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"32,414,813","12,811,654","19,603,159","10,266,849",20,"-321,396",69,"-1,689,894",31
신라젠,215600,2016-12-06,2021,12월,자연과학 및 공학 연구개발업,"133,468,101","27,994,215","105,473,886","254,363",-84,"-10,225,567",61,"-16,719,506",63
핸즈코퍼레이션,143210,2016-12-02,2021,12월,자동차 신품 부품 제조업,"572,108,183","347,783,706","224,324,477","435,819,456",-11,"-31,158,356","-1,594","-38,053,894","-2,812"
자비스,254120,2016-12-02,2021,12월,특수 목적용 기계 제조업,"28,540,872","19,143,502","9,397,370","16,006,381",30,"-3,587,155",-125,"-4,919,526",28
오션브릿지,241790,2016-12-01,2021,12월,특수 목적용 기계 제조업,"93,171,621","11,842,698","81,328,923","78,510,199",15,"14,413,713",12,"12,940,771",-5
퓨쳐켐,220100,2016-12-01,2021,12월,의약품 제조업,"61,765,042","4,647,521","57,117,522","7,064,181",20,"-7,655,642",-55,"-2,555,557",88
뉴파워프라즈마,144960,2016-11-30,2021,12월,특수 목적용 기계 제조업,"290,804,009","117,810,095","172,993,914","93,776,150",14,"10,582,110",13,"15,714,795",-8
엘앤케이바이오,156100,2016-11-30,2021,12월,의료용 기기 제조업,"71,490,311","27,794,944","43,695,367","8,724,322",-54,"-13,921,022",-538,"-15,640,876",-494
시큐센,232830,2016-11-29,2021,12월,소프트웨어 개발 및 공급업,"11,292,423","5,413,061","5,879,362","21,922,928",47,"458,781",106,"477,568",133
스템랩,258540,2016-11-29,-,-,자연과학 및 공학 연구개발업,0,0,0,0,0,0,0,0,0
에이치엔티,176440,2016-11-28,-,-,전자부품 제조업,0,0,0,0,0,0,0,0,0
나무기술,167380,2016-11-28,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
핸디소프트,220180,2016-11-24,2021,12월,소프트웨어 개발 및 공급업,"73,627,507","10,978,518","62,648,989","17,044,884",-3,"1,143,152",10,"3,579,183",3
두산밥캣,241560,2016-11-18,2021,12월,특수 목적용 기계 제조업,"3,901,017,457","829,718,812","3,071,298,645","29,835,153",-85,"-13,531,865",-107,"-51,946,993",-136
SK3호스팩,232330,2016-11-16,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
삼성바이오로직스,207940,2016-11-10,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"5,903,411,709","2,488,139,898","3,415,271,811","1,568,006,928",34,"536,494,669",83,"423,177,019",68
클리오,237880,2016-11-09,2021,12월,기타 화학제품 제조업,"229,393,573","65,867,241","163,526,332","226,792,402",7,"13,471,000",96,"7,388,653",-34
오가닉티코스메틱,900300,2016-11-04,2020,12월,기타 금융업,"347,269,378","38,298,372","308,971,007","302,203,235",0,"13,840,469",-69,0,0
얼라인드,238120,2016-11-03,2021,12월,사진장비 및 광학기기 제조업,"34,689,332","7,354,422","27,334,910","10,335,296",48,"1,820,748",779,"5,354,407",418
세화피앤씨,252500,2016-11-02,2021,12월,기타 화학제품 제조업,"41,090,974","4,873,305","36,217,669","39,660,421",8,"5,440,276",4,"4,865,851",13
인크로스,216050,2016-10-31,2021,12월,광고업,"228,679,913","136,477,491","92,202,422","48,418,623",33,"21,252,960",43,"20,985,789",70
굿센,243870,2016-10-31,2021,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","31,371,437","18,012,795","13,358,642","24,709,838",205,"1,493,392",190,"3,795,592",445
코스메카코리아,241710,2016-10-28,2021,12월,기타 화학제품 제조업,"248,565,195","109,935,145","138,630,050","217,364,581",10,"8,367,297",-20,"2,057,229",-63
에이치엘사이언스,239610,2016-10-28,2021,12월,기타 식품 제조업,"117,741,895","10,460,598","107,281,298","104,375,404",-27,"14,793,033",-37,"13,562,277",-31
JW생명과학,234080,2016-10-27,2021,12월,의약품 제조업,"215,979,644","87,377,547","128,602,097","164,109,162",-8,"27,277,575",-29,"16,918,471",3
안지오랩,251280,2016-10-25,2021,12월,자연과학 및 공학 연구개발업,"6,890,107","646,599","6,243,508","884,958",180,"-2,084,734",63,"-2,069,925",-143
GRT,900290,2016-10-25,2021,06월,기타 금융업,"843,326,178","195,032,743","648,293,435","367,805,834",7,"56,674,684",-16,0,0
골든센츄리,900280,2016-10-19,2020,12월,기타 금융업,"263,546,919","26,877,766","236,669,154","128,406,950",13,"29,576,499",0,0,0
인텔리안테크,189300,2016-10-18,2021,12월,통신 및 방송 장비 제조업,"240,280,809","79,479,041","160,801,768","123,105,919",31,"392,423",458,"3,977,926",997
에이치시티,072990,2016-10-17,2021,12월,기타 과학기술 서비스업,"110,264,906","37,090,591","73,174,315","60,270,993",17,"12,087,732",7,"11,440,813",1
잉글우드랩,950140,2016-10-14,2021,12월,기타 화학제품 제조업,"104,106,543","21,677,116","82,429,426","110,926,964",0,"12,867,964",107,"12,590,918",125
앤디포스,238090,2016-10-12,2021,12월,플라스틱제품 제조업,"181,610,693","17,467,096","164,143,598","60,722,929",-2,"5,934,812",-46,"14,872,898",19
수산아이앤티,050960,2016-10-11,2021,12월,소프트웨어 개발 및 공급업,"84,891,942","4,712,660","80,179,283","20,847,521",15,"5,303,816",16,"749,804",-82
미투온,201490,2016-10-10,2021,12월,소프트웨어 개발 및 공급업,"91,022,150","32,399,243","58,622,907","13,764,814",-19,"230,670",-76,"3,724,735",-27
화승엔터프라이즈,241590,2016-10-04,2021,12월,신발 및 신발 부분품 제조업,"386,893,606","31,426,768","355,466,838","4,845,159",22,"1,773,096",63,"4,721,558",985
에스엠로보틱스,252940,2016-09-30,-,-,"인형,장난감 및 오락용품 제조업",0,0,0,0,0,0,0,0,0
예선테크,250930,2016-09-29,2021,12월,플라스틱제품 제조업,"58,053,481","26,978,212","31,075,268","23,149,321",21,"-625,167",-206,"3,076,179","2,979"
유쎌,252370,2016-09-29,-,-,기타 화학제품 제조업,0,0,0,0,0,0,0,0,0
LS전선아시아,229640,2016-09-22,2021,12월,기타 금융업,"308,681,487","13,081,270","295,600,217","6,379,501",-81,"3,726,487",-88,"3,658,197",-88
유니테크노,241690,2016-09-20,2021,12월,자동차 신품 부품 제조업,"120,129,780","33,912,298","86,217,482","72,647,975",5,"6,524,793",25,"7,570,923",-16
모비스,250060,2016-09-08,2021,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","33,438,222","12,627,503","20,810,719","1,236,490",60,"-2,538,372",6,"-4,578,956",-98
엠에프엠코리아,251960,2016-09-08,-,-,편조의복 제조업,0,0,0,0,0,0,0,0,0
나무기술,242040,2016-09-07,2021,12월,소프트웨어 개발 및 공급업,"74,168,397","34,600,615","39,567,781","65,630,838",2,"1,394,418",-2,"-322,006",86
자이글,234920,2016-09-06,2021,12월,가정용 기기 제조업,"58,413,883","12,851,639","45,562,244","20,245,590",12,"-5,067,734",-502,"-4,630,167",-634
일동제약,249420,2016-08-31,2021,12월,의약품 제조업,"689,903,318","537,931,296","151,972,022","559,145,199",0,"-54,326,852","-1,070","-98,891,807",-654
헝셩그룹,900270,2016-08-18,2020,12월,기타 금융업,"335,624,175","52,465,372","283,158,803","143,492,068",-35,"5,002,990",-88,0,0
제이에스피브이,250300,2016-08-10,-,-,기타 전기장비 제조업,0,0,0,0,0,0,0,0,0
샘표식품,248170,2016-08-09,2021,12월,기타 식품 제조업,"303,021,697","98,542,571","204,479,127","341,144,115",10,"20,098,196",-47,"21,881,466",-28
에코마케팅,230360,2016-08-08,2021,12월,광고업,"174,209,248","49,204,205","125,005,043","47,494,403",-15,"21,577,604",-37,"21,615,066",-43
블루탑,191600,2016-08-05,2021,12월,전자부품 제조업,"40,717,778","27,593,887","13,123,892","31,079,688",11,"-1,835,095",-32,"-1,458,278",-12
팍스넷,038160,2016-08-01,-,-,기타 정보 서비스업,0,0,0,0,0,0,0,0,0
두올,016740,2016-07-29,2021,12월,자동차 신품 부품 제조업,"267,050,839","106,418,792","160,632,047","226,290,450",-4,"17,034,965",8,"12,390,207",134
엔지스테크널러지,208860,2016-07-28,2021,12월,소프트웨어 개발 및 공급업,"35,044,548","28,880,906","6,163,642","4,784,367",-6,"-2,670,430",-303,"-5,433,060",30
우리손에프앤지,073560,2016-07-27,2021,12월,"도축, 육류 가공 및 저장 처리업","195,561,008","62,224,682","133,336,326","88,890,576",15,"11,580,784",28,"9,821,308",30
휴벡셀,212310,2016-07-26,2021,12월,의료용 기기 제조업,"9,183,141","6,938,784","2,244,357","4,367,942",-30,"-2,490,322",-5,"-5,236,216",-14
에스케이씨에스,224020,2016-07-25,2021,12월,플라스틱제품 제조업,"16,202,771","13,812,501","2,390,270","17,068,806",9,"460,285",253,"30,193",101
아이윈플러스,123010,2016-07-20,2021,12월,전자부품 제조업,"44,631,483","17,502,595","27,128,888","9,066,229",12,"-3,181,392",21,"-4,819,590",-22
제노텍,066830,2016-07-18,2021,12월,기타 화학제품 제조업,"12,683,705","2,720,944","9,962,761","6,603,065",-10,"3,192,767",-9,"3,156,418",-11
장원테크,174880,2016-07-15,2021,12월,통신 및 방송 장비 제조업,"116,853,830","41,222,064","75,631,766","19,121,087",76,"-9,381,583",39,"-17,148,798",75
동서,026960,2016-07-15,2021,12월,음·식료품 및 담배 도매업,"1,561,312,544","127,721,300","1,433,591,244","496,751,792",12,"33,112,243",-1,"113,354,764",-3
위니아,071460,2016-07-14,2021,12월,가정용 기기 제조업,"482,846,127","380,750,545","102,095,582","713,875,332",19,"14,470,164",-22,"1,331,585",-78
한국자산신탁,123890,2016-07-13,2021,12월,신탁업 및 집합투자업,"964,064,318","201,495,249","762,569,070","167,798,923",-23,"113,135,361",-30,"81,572,645",-33
시냅스엠,246830,2016-07-13,-,-,"자료처리,호스팅,포털 및 기타인터넷정보매개서비스업",0,0,0,0,0,0,0,0,0
한국토지신탁,034830,2016-07-11,2021,12월,신탁업 및 집합투자업,"1,452,266,768","589,453,299","862,813,470","205,078,260",-1,"88,245,937",-3,"68,160,179",9
인프라웨어테크놀러지,247300,2016-07-08,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
비엘,142760,2016-07-07,2021,12월,자연과학 및 공학 연구개발업,"97,307,258","24,976,513","72,330,745","18,338,637",18,"-7,371,383",-23,"-17,958,335",14
피앤씨테크,237750,2016-07-04,2021,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","73,749,431","8,236,356","65,513,075","21,708,530",10,"1,970,818",80,"3,450,283",58
로스웰,900260,2016-06-30,2020,12월,기타 금융업,"304,867,706","123,410,580","181,457,126","57,902,886",-40,"-3,538,864",-180,0,0
에스엘에스바이오,246250,2016-06-29,2021,12월,기타 과학기술 서비스업,"10,505,930","6,782,099","3,723,831","8,242,508",-5,"426,234",159,"57,891",108
씨앤에스링크,245450,2016-06-24,2021,12월,통신 및 방송 장비 제조업,"10,196,465","7,861,384","2,335,081","23,098,155",3,"355,003",-53,"108,702",-80
해성디에스,195870,2016-06-24,2021,12월,전자부품 제조업,"477,505,807","181,294,625","296,211,182","655,373,013",42,"87,272,195",100,"72,862,568",143
지씨셀,144510,2016-06-23,2021,12월,"그외 기타 전문, 과학 및 기술 서비스업","640,620,054","119,413,763","521,206,291","159,335,506",100,"41,242,265",525,"36,533,789",545
에스티팜,237690,2016-06-23,2021,12월,의약품 제조업,"494,693,772","165,893,102","328,800,670","139,139,308",27,"4,539,424",134,"4,989,738",157
이비테크,208850,2016-06-22,2021,12월,기타 전기장비 제조업,"13,640,640","1,932,480","11,708,160","5,442,617",-19,"980,641",-22,"1,252,123",12
한국4호스팩,240540,2016-06-22,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
알엔투테크놀로지,148250,2016-06-22,2021,12월,전자부품 제조업,"75,734,157","30,517,941","45,216,216","25,214,601",5,"1,844,457",-54,"1,566,493",-60
줌인터넷,229480,2016-06-10,-,-,"자료처리,호스팅,포털 및 기타인터넷정보매개서비스업",0,0,0,0,0,0,0,0,0
줌인터넷,239340,2016-06-09,2021,12월,"자료처리,호스팅,포털 및 기타인터넷정보매개서비스업","36,620,642","6,502,910","30,117,732","23,633,815",0,"3,066,232",111,"1,073,046",-37
휴온스,243070,2016-06-03,2021,12월,의약품 제조업,"413,267,804","146,912,647","266,355,157","403,602,927",10,"43,684,560",-16,"31,692,367",-35
스페이스솔루션,245030,2016-06-03,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
나눔테크,244880,2016-06-01,2021,12월,의료용 기기 제조업,"16,130,860","1,845,200","14,285,660","12,772,533",44,"2,606,643",59,"2,347,006",51
KC산업,112190,2016-05-31,2021,12월,"시멘트, 석회, 플라스터 및 그 제품 제조업","115,336,286","81,658,924","33,677,363","74,565,619",1,"3,130,493",-41,"1,211,299",-27
용평리조트,070960,2016-05-27,2021,12월,일반 및 생활 숙박시설 운영업,"841,487,728","455,084,997","386,402,731","236,126,624",85,"30,954,609",556,"8,789,051",150
영현무역,242850,2016-05-20,-,-,상품 중개업,0,0,0,0,0,0,0,0,0
본느,242420,2016-05-16,-,-,기타 화학제품 제조업,0,0,0,0,0,0,0,0,0
해태제과식품,101530,2016-05-11,2021,12월,기타 식품 제조업,"610,932,884","358,088,284","252,844,599","536,005,807",-2,"24,769,395",-27,"-2,835,592",-110
원익IPS,240810,2016-05-02,2021,12월,특수 목적용 기계 제조업,"1,165,496,571","368,255,301","797,241,271","1,232,346,329",13,"163,290,906",16,"141,892,763",45
이에스산업,241510,2016-04-26,-,-,일반 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
인터코스,240340,2016-04-21,-,-,기타 화학제품 제조업,0,0,0,0,0,0,0,0,0
로보쓰리,238500,2016-04-20,2021,12월,"그외 기타 전문, 과학 및 기술 서비스업","7,196,247","487,642","6,708,605","90,552",-92,"-1,462,707",-224,"-1,469,436",-211
레이언스,228850,2016-04-11,2021,12월,의료용 기기 제조업,"225,822,113","20,152,522","205,669,592","110,618,653",27,"23,406,587",99,"12,957,275",316
씨엠에스에듀,225330,2016-04-07,-,-,일반 교습 학원,0,0,0,0,0,0,0,0,0
동양파일,228340,2016-04-06,2021,12월,"시멘트, 석회, 플라스터 및 그 제품 제조업","126,025,097","7,996,739","118,028,358","69,531,446",48,"8,187,382",301,"2,384,379",136
삼일씨엔에스,004440,2016-03-30,2021,12월,"시멘트, 석회, 플라스터 및 그 제품 제조업","345,935,541","71,521,347","274,414,194","224,073,629",20,"13,453,460","5,320","-3,211,518",-210
SGA시스템즈,232290,2016-03-30,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
태경피엔에스,235090,2016-03-16,-,-,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
팬젠,222110,2016-03-11,2021,12월,의약품 제조업,"43,276,915","22,179,045","21,097,870","7,935,565",28,"-3,288,357",11,"-3,310,318",24
AP위성,211270,2016-03-04,2021,12월,통신 및 방송 장비 제조업,"111,188,163","30,083,389","81,104,774","40,201,720",-11,"842,198",-80,"1,401,741",203
하이에이아이1호스팩,235010,2016-03-04,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
에이트원,230980,2016-03-02,2021,12월,소프트웨어 개발 및 공급업,"57,632,922","27,347,791","30,285,131","3,505,760",-48,"-3,477,761",-815,"-6,325,051",-289
큐리언트,115180,2016-02-29,2021,12월,자연과학 및 공학 연구개발업,"54,120,586","3,419,309","50,701,277","4,633,137","3,514","-21,521,885",-7,"-20,958,343",-5
케이비제9호스팩,232270,2016-02-29,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
케이엠제약,237720,2016-02-24,-,-,기타 화학제품 제조업,0,0,0,0,0,0,0,0,0
안트로젠,065660,2016-02-15,2021,12월,기타 전문 도매업,"136,700,768","19,834,172","116,866,596","8,121,553",95,"-2,624,116",29,"-553,984",87
슈프리마,236200,2016-02-05,2021,12월,통신 및 방송 장비 제조업,"176,368,034","9,237,095","167,130,938","67,798,346",22,"16,273,134",44,"22,930,977",139
제이에스코퍼레이션,194370,2016-02-04,2021,12월,"가죽, 가방 및 유사제품 제조업","276,844,894","108,377,451","168,467,443","237,504,109",47,"9,310,502",39,"16,224,918",426
아이엠텍,226350,2016-02-03,-,-,전자부품 제조업,0,0,0,0,0,0,0,0,0
유니트론텍,142210,2016-02-02,2021,12월,자동차 부품 및 내장품 판매업,"158,497,253","95,988,292","62,508,962","303,349,207",44,"14,669,318",118,"7,467,402","1,787"
크리스탈신소재,900250,2016-01-28,2020,12월,기타 금융업,"322,973,705","34,276,075","288,697,630","90,838,702",7,"31,095,539",9,0,0
자안바이오,221610,2016-01-27,-,-,기타 화학제품 제조업,0,0,0,0,0,0,0,0,0
메디젠휴먼케어,236340,2016-01-26,2021,12월,자연과학 및 공학 연구개발업,"4,787,296","17,268,600","-12,481,304","3,552,786",41,"-2,074,152",32,"-2,631,970",48
선바이오,067370,2016-01-22,2021,12월,의약품 제조업,"19,719,725","4,323,208","15,396,517","9,964,994",82,"3,377,484",106,"284,737",-76
이엠티,232530,2015-12-30,2021,12월,일차전지 및 축전지 제조업,"26,185,051","27,707,057","-1,522,005","33,773,843",466,"-1,993,305",63,"-4,774,487",23
볼빅,206950,2015-12-30,2021,12월,운동 및 경기용구 제조업,"62,981,238","55,291,771","7,689,467","47,337,146",25,"-1,181,136",46,"-3,877,992",-18
질경이,233990,2015-12-29,2021,12월,기타 화학제품 제조업,"6,379,167","5,507,448","871,720","10,352,132",-15,"-1,709,506",-66,"-2,005,106",-114
코리아오토글라스,152330,2015-12-29,-,-,유리 및 유리제품 제조업,0,0,0,0,0,0,0,0,0
코디엠,224060,2015-12-29,2021,12월,특수 목적용 기계 제조업,"82,404,775","20,145,703","62,259,072","45,342,625",62,"-3,715,904",-45,"-20,786,228",-176
에스와이,109610,2015-12-29,2021,12월,"구조용 금속제품, 탱크 및 증기발생기 제조업","301,763,582","142,253,622","159,509,960","319,394,002",42,"10,821,933","1,473","7,171,017",126
잇츠한불,226320,2015-12-28,2021,12월,기타 화학제품 제조업,"409,203,365","10,138,281","399,065,084","42,536,918",-24,"-18,549,769",6,"-17,396,861",-16
무송지오씨,135160,2015-12-28,2021,12월,절연선 및 케이블 제조업,"74,600,554","51,265,163","23,335,391","46,884,022",-2,"-227,349",-119,"1,478,513",211
크로넥스,215570,2015-12-28,2021,12월,자연과학 및 공학 연구개발업,"16,508,334","9,911,788","6,596,546","3,280,065",20,"-1,602,637",-11,"-2,280,456",-50
커머스마이너,223310,2015-12-24,2021,12월,소프트웨어 개발 및 공급업,"23,337,208","3,417,037","19,920,170","16,677,099",161,"-4,305,764",2,"-8,355,616",30
세기리텍,199870,2015-12-24,-,-,1차 비철금속 제조업,0,0,0,0,0,0,0,0,0
미래자원엠엘,233190,2015-12-24,-,-,동물용 사료 및 조제식품 제조업,0,0,0,0,0,0,0,0,0
육일씨엔에쓰,191410,2015-12-24,2021,12월,전자부품 제조업,"42,909,206","24,165,127","18,744,080","11,606,238",-57,"5,543,934",157,"9,695,892",131
휴젤,145020,2015-12-24,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"848,964,006","168,668,443","680,295,563","201,136,526",9,"65,338,124",32,"43,271,402",62
와이아이케이,232140,2015-12-24,2021,12월,특수 목적용 기계 제조업,"307,239,356","65,827,518","241,411,838","263,681,532",93,"39,839,283",134,"37,787,104",152
한국맥널티,222980,2015-12-23,2021,12월,기타 식품 제조업,"67,989,736","31,050,189","36,939,548","32,962,857",-12,"2,460,191",-9,"2,742,389",-37
아진산업,013310,2015-12-22,2021,12월,자동차 신품 부품 제조업,"400,653,828","188,896,038","211,757,790","262,302,239",0,"-1,372,313",-108,"4,491,196",-20
아스팩오일,232360,2015-12-22,-,-,석유 정제품 제조업,0,0,0,0,0,0,0,0,0
덱스터,206560,2015-12-22,2021,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","69,544,896","11,876,374","57,668,522","30,452,760",26,"-2,595,739",-636,"-1,195,678",64
HLB제약,047920,2015-12-21,2021,12월,자연과학 및 공학 연구개발업,"127,632,308","49,247,719","78,384,589","62,852,784",54,"486,237",-53,"-13,225,622",82
인산가,062580,2015-12-21,-,-,기타 식품 제조업,0,0,0,0,0,0,0,0,0
강스템바이오텍,217730,2015-12-21,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"90,179,843","20,041,371","70,138,473","3,756,744","1,171","-21,748,206",-29,"-20,437,353",-4
에이원알폼,234070,2015-12-21,2021,12월,산업용 기계 및 장비 임대업,"64,797,492","31,082,593","33,714,899","20,057,060",-36,"-11,555,083","-8,771","-12,062,938",-22
메가엠디,133750,2015-12-18,2021,12월,일반 교습 학원,"118,905,436","42,204,551","76,700,885","71,840,964",-5,"10,510,315",-4,"9,764,656",56
동부제4호스팩,230490,2015-12-18,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
한국비엔씨,226610,2015-12-18,-,-,의료용 기기 제조업,0,0,0,0,0,0,0,0,0
파크시스템스,140860,2015-12-17,2021,12월,"측정,시험,항해,제어및기타정밀기기제조;광학기기제외","131,155,554","38,514,875","92,640,679","76,303,990",21,"17,556,071",12,"10,064,883",-7
보광산업,225530,2015-12-17,2021,12월,기타 비금속 광물제품 제조업,"140,422,422","56,135,828","84,286,594","71,898,464",26,"13,261,384",36,"10,057,828",17
코스맥스엔비티,222040,2015-12-16,2021,12월,기타 식품 제조업,"326,251,501","203,060,556","123,190,945","212,930,912",8,"26,778,283",17,"4,062,097",186
에치에프알,230240,2015-12-16,2021,12월,통신 및 방송 장비 제조업,"203,994,174","108,607,174","95,387,000","166,940,141",131,"12,890,179",177,"11,509,850",159
예스티,122640,2015-12-16,2021,12월,특수 목적용 기계 제조업,"184,666,565","103,692,442","80,974,123","69,337,347",9,"-7,986,514","-1,172","-23,606,038","-1,564"
멕아이씨에스,058110,2015-12-14,2021,12월,의료용 기기 제조업,"92,729,491","18,827,333","73,902,158","43,984,545",-31,"12,223,070",-60,"10,464,327",-57
에이치엔에스하이텍,044990,2015-12-10,2021,12월,전자부품 제조업,"74,362,324","35,557,141","38,805,183","81,335,921",3,"10,512,773",64,"10,165,184",888
미애부,225850,2015-12-08,-,-,생활용품 도매업,0,0,0,0,0,0,0,0,0
엔에스,217820,2015-12-07,2021,12월,특수 목적용 기계 제조업,"118,807,204","67,954,090","50,853,114","36,856,982",-38,"1,453,173",-79,"7,121,498",72
미래테크놀로지,213090,2015-12-01,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
세진중공업,075580,2015-11-30,2021,12월,선박 및 보트 건조업,"444,397,560","284,138,672","160,258,888","221,657,469",-17,"1,169,498",132,"21,873,405",888
지성이씨에스,138290,2015-11-30,-,-,기반조성 및 시설물 축조관련 전문공사업,0,0,0,0,0,0,0,0,0
하이즈항공,221840,2015-11-25,2021,12월,"항공기,우주선 및 부품 제조업","135,014,197","76,093,053","58,921,144","20,047,205",-31,"-11,777,305",-231,"-19,218,215",-329
디엑스앤브이엑스,180400,2015-11-20,2021,12월,기타 과학기술 서비스업,"40,677,506","4,959,040","35,718,466","7,470,297",-2,"-3,713,129",20,"-6,740,256",-22
리드,197210,2015-11-20,-,-,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
케이디켐,221980,2015-11-19,2021,12월,기타 화학제품 제조업,"96,329,471","17,606,486","78,722,985","53,428,528",13,"6,776,047",11,"6,519,610",44
매직마이크로,127160,2015-11-19,2020,12월,전자부품 제조업,"75,526,414","54,917,704","20,608,711","17,121,982",-68,"-8,133,219",-52,"-33,472,237",-21
엔투텍,227950,2015-11-18,2021,06월,특수 목적용 기계 제조업,"90,764,350","31,163,739","59,600,612","38,759,161",-16,"-2,725,825",-213,"-34,187,403",-88
네오오토,212560,2015-11-18,2021,12월,자동차 신품 부품 제조업,"146,555,505","57,483,554","89,071,951","142,360,251",21,"5,923,322",100,"6,568,001",85
케어젠,214370,2015-11-17,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"226,648,850","16,958,449","209,690,401","59,087,883",-2,"28,659,704",-11,"25,202,133",-13
자비스,230400,2015-11-17,-,-,의료용 기기 제조업,0,0,0,0,0,0,0,0,0
아이진,185490,2015-11-16,2021,12월,자연과학 및 공학 연구개발업,"104,422,679","15,980,515","88,442,164","3,242,116",-3,"-34,663,349",-175,"-35,078,940",-135
이노시스,056090,2015-11-12,2021,12월,의료용 기기 제조업,"70,197,762","41,653,602","28,544,160","21,381,255",20,"-66,405",99,"-4,970,498",60
나무가,190510,2015-11-12,2021,12월,전자부품 제조업,"152,467,271","92,458,836","60,008,435","349,340,380",-10,"3,621,116",79,"8,361,244",658
금호에이치티,214330,2015-11-11,2021,12월,자동차 신품 부품 제조업,"419,500,176","86,963,209","332,536,967","197,311,760",8,"-5,801,459",-29,"-29,331,665",-176
제주항공,089590,2015-11-06,2021,12월,항공 여객 운송업,"1,253,522,783","1,070,970,908","182,551,875","270,775,568",-27,"-314,525,241",5,"-275,213,296",8
본느,226340,2015-11-05,2021,12월,기타 화학제품 제조업,"75,870,614","47,036,113","28,834,501","21,552,916",-11,"30,179",-98,"-4,735,890",-312
파마리서치바이오,217950,2015-11-05,2021,12월,의약품 제조업,"49,590,129","35,530,093","14,060,036","10,578,986",67,"2,624,941",576,"2,310,520",888
연우,115960,2015-11-02,2021,12월,플라스틱제품 제조업,"290,990,110","43,913,470","247,076,640","279,680,389",13,"31,247,328",86,"28,017,044",149
럭스피아,092590,2015-10-30,2021,12월,반도체 제조업,"16,973,907","1,689,193","15,284,714","16,681,410",-25,"1,037,108",-73,"933,480",-71
키움스팩4호,226850,2015-10-29,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
노브메타파마,229500,2015-10-28,2021,12월,자연과학 및 공학 연구개발업,"8,034,620","15,583,317","-7,548,698",0,0,"-5,509,773",11,"-6,474,704",-1
