회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
공구우먼,366030,2022-03-23,2021,12월,"섬유, 의복, 신발 및 가죽제품 소매업","31,550,791","4,431,995","27,118,796","47,319,808",44,"10,327,067",92,"8,764,033",101
유일로보틱스,388720,2022-03-18,2021,12월,특수 목적용 기계 제조업,"37,187,682","15,980,321","21,207,361","35,052,241",25,"2,941,100",3,"3,574,180",42
모아데이타,288980,2022-03-10,2021,12월,소프트웨어 개발 및 공급업,"24,878,907","5,538,178","19,340,728","19,642,516",42,"2,709,732",-12,"1,083,407",-48
에스케이증권7호스팩,408920,2022-03-07,2021,12월,금융 지원 서비스업,"1,186,145","523,494","662,651",0,0,"-3,918",888,"-4,953",888
비씨엔씨,146320,2022-03-03,2021,12월,반도체 제조업,"66,539,611","34,525,035","32,014,576","62,541,798",37,"8,711,955",10,"7,197,317",82
노을,376930,2022-03-03,2021,12월,의료용 기기 제조업,"19,943,843","18,086,749","1,857,094","1,475,309",399,"-11,423,071",-57,"-12,315,478",-37
풍원정밀,371950,2022-02-28,2021,12월,전자부품 제조업,"65,919,054","37,355,427","28,563,627","39,431,184",10,"3,064,765",423,"2,844,609",407
스톤브릿지벤처스,330730,2022-02-25,2021,12월,기타 금융업,"80,896,613","16,976,458","63,920,155","42,411,460",73,"27,485,737",87,"22,377,888",74
하나금융21호스팩,406760,2022-02-25,2021,12월,금융 지원 서비스업,"2,786,132","1,295,100","1,491,031",0,0,"-13,669",888,"-15,106",888
브이씨,365900,2022-02-24,2021,12월,운동 및 경기용구 제조업,"58,162,569","25,204,305","32,958,265","48,096,362",36,"7,554,590",7,"6,412,164",42
퓨런티어,370090,2022-02-23,2021,12월,"측정,시험,항해,제어및기타정밀기기제조;광학기기제외","17,611,623","4,827,414","12,784,209","22,171,956",47,"1,219,720",181,"2,641,796",221
바이오에프디엔씨,251120,2022-02-21,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"23,040,032","7,157,264","15,882,768","11,972,174",38,"3,137,538",7,"2,907,548",18
한국제10호스팩,409570,2022-02-21,2021,12월,금융 지원 서비스업,"1,780,777","801,463","979,314",0,0,"-15,460",888,"-14,212",888
IBKS제17호스팩,405350,2022-02-18,2021,12월,금융 지원 서비스업,"1,283,429","763,122","520,307",0,0,"-14,030",888,"-23,159",888
인카금융서비스,211050,2022-02-16,2021,12월,보험 및 연금관련 서비스업,"214,851,036","172,082,242","42,768,794","314,327,292",4,"21,967,894",41,"17,272,601",55
나래나노텍,137080,2022-02-08,2021,12월,특수 목적용 기계 제조업,"149,499,230","86,963,085","62,536,146","135,112,778",63,"23,001,150",306,"17,411,785",666
아셈스,136410,2022-02-07,2021,12월,플라스틱제품 제조업,"62,893,090","32,904,502","29,988,588","34,158,579",32,"3,388,214",14,"3,679,052","2,103"
스코넥,276040,2022-02-04,2021,12월,소프트웨어 개발 및 공급업,"5,613,244","5,829,754","-216,510","5,978,003",31,"-3,067,852",43,"-3,555,556",60
이지트로닉스,377330,2022-02-04,2021,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","36,298,821","16,420,949","19,877,872","17,747,807",15,"-30,235",-101,"93,753",-97
LG에너지솔루션,373220,2022-01-27,2021,12월,일차전지 및 축전지 제조업,"13,709,636,000","6,575,680,000","7,133,956,000","8,387,463,000","1,225","-354,339,000",30,"-102,962,000",72
애드바이오텍,179530,2022-01-24,2021,12월,의약품 제조업,"21,124,312","15,882,117","5,242,196","11,711,552",18,"-1,482,585",-60,"-2,593,815",64
케이옥션,102370,2022-01-24,2021,12월,상품 중개업,"90,588,964","23,590,033","66,998,932","37,959,779",65,"13,562,794","2,879","10,472,439",471
코스텍시스템,169670,2022-01-21,2021,12월,특수 목적용 기계 제조업,"29,815,648","16,028,145","13,787,503","26,952,424",36,"1,595,841",516,"710,823",96
오토앤,353590,2022-01-20,2021,12월,자동차 부품 및 내장품 판매업,"40,517,346","24,133,507","16,383,839","50,122,557",1,"2,971,172",-37,"1,762,171",-48
디비금융스팩10호,404950,2022-01-20,2021,12월,기타 금융업,"1,981,322","891,502","1,089,820",0,0,"-15,205",888,"-21,604",888
래몽래인,200350,2021-12-30,2021,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","72,261,481","27,434,681","44,826,800","40,997,855",18,"3,275,635",-15,"2,459,445",-25
하나금융20호스팩,400560,2021-12-27,2021,12월,금융 지원 서비스업,"6,818,741","898,378","5,920,363",0,0,"-4,540",888,"-6,175",888
엔에이치스팩22호,396770,2021-12-24,2021,12월,금융 지원 서비스업,"14,765,975","2,343,327","12,422,648",0,0,"-28,411",888,"-37,630",888
교보11호스팩,397880,2021-12-20,2021,12월,금융 지원 서비스업,"10,797,343","2,164,331","8,633,012",0,0,"-41,476",888,"-42,337",888
하이제7호스팩,400840,2021-12-20,2021,12월,금융 지원 서비스업,"11,724,618","1,543,846","10,180,772",0,0,"-16,505",888,"-22,350",888
다올인베스트먼트,298870,2021-12-16,2021,12월,기타 금융업,"350,410,853","40,061,222","310,349,631","114,042,419",70,"83,958,006",88,"64,751,076",81
라피치,403360,2021-12-14,2021,12월,소프트웨어 개발 및 공급업,"4,611,251","2,179,076","2,432,176","7,023,133",-11,"260,004",-81,"278,947",-77
제이엠멀티,254160,2021-12-13,2021,12월,제재 및 목재 가공업,"14,175,355","6,323,150","7,852,205","13,512,147",-26,"-923,914",-218,"2,849,834",203
툴젠,199800,2021-12-10,2021,12월,자연과학 및 공학 연구개발업,"87,673,408","3,010,025","84,663,383","1,597,275",124,"-20,730,701",-40,"-20,692,478",-40
